"(3, 0, 1)","[-14171.709157055382, -14535.756285719819, -14439.822336971036, -8065.547540311345]"
"(0, 0, 1)","[-15288.528531310509, -20238.9813772403, -21109.27240270847, -5489.526809209152]"
"(2, 1, 1)","[-4432.877372413355, -9343.870652205682, -8913.662942325678, -664.6294977915293]"
"(3, 1, 1)","[-2086.53574109538, -5763.398754423319, -11940.059602937858, -7528.22952585442]"
"(4, 2, 0)","[0.0, 0.0, 0.0, 0.0]"
"(4, 1, 3)","[-5927.480306240119, -13052.033632033626, -22292.694199563448, -25247.64301684907]"
"(4, 0, 3)","[-16688.503272534643, -31874.5516180556, -19908.22151771244, -19631.299474421867]"
"(3, 0, 3)","[-2162.63208112172, -15363.667469126873, -15102.589850586137, -11220.094762899953]"
"(4, 1, 1)","[-3898.8044546120886, -7872.969932201268, -8696.368066768013, -1507.1576259014241]"
"(4, 0, 1)","[-14080.994559997485, -14289.372849893483, -14144.264700894862, -4409.221354112743]"
"(2, 3, 3)","[-20911.425478254754, -15719.130060421787, -4641.267518827726, -16057.697134276706]"
"(3, 3, 3)","[-19802.055224159198, -28583.24095584357, -11895.184159455144, -23769.692061632224]"
"(4, 3, 3)","[-31504.146772031236, -31700.573041103024, -19986.58668702002, -31620.22198182255]"
"(3, 4, 3)","[-31474.84897586299, -31496.101405452137, -19205.05352031913, -31901.968264441384]"
"(2, 4, 3)","[-31427.685506687474, -31440.591524006566, -22164.34334099597, -31438.044071807784]"
"(4, 4, 3)","[-31411.19139570838, -31833.839881666132, -31432.26092015354, -31971.648779561896]"
"(1, 4, 3)","[-31587.691330895184, -31262.802620611954, -31272.08420966619, -31715.188102703636]"
